#,Loan Product / Variant,Max Loan Amount,Tenure,Co-app?,Min CIBIL,Age,Min. Income (pm),LTV Ratio,,,
ICICI,Holiday Loan,21,High,1 - 5 Years,Medium,Medium,Marketed for international travel or premium domestic vacations.,,,,
ICICI,Home Renovation Loan,21,High,1 - 5 Years,Medium,Medium,Unsecured credit for structural or interior residence upgrades.,,,,
ICICI,Medical Emergency Loan,21,Medium,1 - 5 Years,Medium,Medium,Priority processing for urgent healthcare and hospital billing.,,,,
ICICI,NRI Personal Loan,21,High,1 - 5 Years,High,Low,For Non-Resident Indians to meet family or asset needs in India.,,,,
ICICI,PL Top-Up,23,High,1 - 5 Years,High,Low,Additional loan for existing holders with 12+ months repayment history.,,,,
ICICI,PL Balance Transfer,23,High,1 - 6 Years,High,Low,Transferring high-interest debt from other banks to ICICI Bank.,,,,
ICICI,Money Saver (Overdraft),23,High,1 Year,High,Low,Overdraft facility against salary; renewal required annually.,,,,
ICICI,InstaOD (Salary),23,High,1 Year,High,Low,Instant small-ticket overdraft against the monthly salary credit.,,,,
ICICI,Debt Consolidation Loan,21,High,1 - 5 Years,High,Medium,Merge multiple card debts or small loans into one structured EMI.,,,,
ICICI,PL for Senior Citizens,60,Medium,1 - 5 Years,High,Low,Pension-based loan for retirees with accounts at ICICI.,,,,
ICICI,Insta Loan against FD,18,Low,1 - 5 Years,Low,Low,Instant credit up to 90% of FD value; tenure matches the FD term.,,,,
ICICI,Insta Loan against MF,18,Medium,1 - 5 Years,Low,Low,Digital credit line backed by the borrower’s mutual fund portfolio.,,,,
ICICI,Insta Loan against Shares,18,Medium,1 - 5 Years,Low,Low,Overdraft facility against the market value of demat shares.,,,,
ICICI,Loan against Life Insurance,18,Medium,1 - 5 Years,Low,Low,Credit against the surrender value of approved life policies.,,,,
ICICI,PL against Property,21,Medium,1 - 15 Years,Medium,Low,Long-term secured loan for personal use against property mortgage.,,,,
ICICI,Personal Gold Loan,18,Low,0.25 - 3 Years,Low,Low,"Fast, asset-backed loan using gold jewelry as collateral.",,,,
ICICI,Rent Plus (Lease Rental),21,Medium,1 - 7 Years,Medium,Medium,For property owners to get a lump sum against future rent receipts.,,,,
ICICI,Festive PL Scheme,21,Medium,1 - 5 Years,Medium,Medium,Seasonal personal loan offers with low fees during major festivals.,,,,
ICICI,PL for Gov. Employees,21,Medium,1 - 6 Years,High,Low,"Specialized criteria for Defense, Central, and State personnel.",,,,
ICICI,PL for Women Professionals,21,High,1 - 5 Years,Medium,Medium,Tailored benefits and processing for salaried women professionals.,,,,
ICICI,Consumer Durable Loan,21,Medium,0.5 - 2 Years,Medium,Medium,Small-ticket loan for household electronics and appliances.,,,,
